id,label,disease
CircleBaseV2_003038371,0,Healthy
eccDNABase_000012172,1,Esophageal cancer
eccDNABase_000001382,1,Chronic kidney disease
eccDNABase_000894113,1,Glioblastoma
eccDNABase_000711243,0,Healthy
CircleBaseV2_000013238,0,Healthy
CircleBaseV2_002877899,0,Healthy
eccDNABase_000640791,0,Healthy
eccDNABase_000795546,0,Healthy
eccDNABase_000569549,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000835597,0,Healthy
eccDNABase_000009521,1,Hypopharynx cancer
CircleBaseV2_002803973,0,Healthy
eccDNABase_000873554,1,Systemic lupus erythematosus
eccDNABase_000704214,0,Healthy
CircleBaseV2_000010552,0,Healthy
eccDNABase_000538686,1,Coronary artery disease
CircleBaseV2_002830859,0,Healthy
eccDNABase_000002523,1,Clear cell renal cell carcinoma
CircleBaseV2_002776906,0,Healthy
eccDNABase_000439547,1,Smarca4-deficient sarcoma of thorax
CircleBaseV2_003047565,0,Healthy
eccDNABase_000799769,0,Healthy
eccDNABase_000670288,0,Healthy
CircleBaseV2_000008425,0,Healthy
eccDNABase_000874325,1,Glioblastoma
eccDNABase_000015926,1,Lung squamous cell cancer
eccDNABase_000621629,0,Healthy
eccDNABase_000447263,1,Colon cancer
eccDNABase_000670131,0,Healthy
eccDNABase_000571067,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000002572,1,Clear cell renal cell carcinoma
eccDNABase_000533854,1,Melanoma
CircleBaseV2_002770891,0,Healthy
eccDNABase_000893993,1,Colorectal adenoma
CircleBaseV2_003005450,1,Stomach
eccDNABase_000538330,1,Coronary artery disease
eccDNABase_000803627,0,Healthy
eccDNABase_000539718,1,Coronary artery disease
CircleBaseV2_002868377,0,Healthy
eccDNABase_000717036,0,Healthy
eccDNABase_000815116,0,Healthy
eccDNABase_000101628,1,Cervical adenocarcinoma
eccDNABase_000531058,1,Neuroblastoma
CircleBaseV2_000055857,0,Healthy
CircleBaseV2_000019162,0,Healthy
CircleBaseV2_002836611,0,Healthy
CircleBaseV2_002869566,0,Healthy
CircleBaseV2_002798521,0,Healthy
CircleBaseV2_002814558,0,Healthy
CircleBaseV2_002837946,0,Healthy
eccDNABase_000913529,1,Fetal growth restriction
eccDNABase_000551331,1,Stomach cancer
CircleBaseV2_003028556,0,Healthy
CircleBaseV2_002831276,0,Healthy
eccDNABase_000539405,1,Coronary artery disease
eccDNABase_000634702,0,Healthy
eccDNABase_000713242,0,Healthy
eccDNABase_000893903,1,Colorectal adenoma
CircleBaseV2_002830302,0,Healthy
eccDNABase_000670536,0,Healthy
eccDNABase_000600626,0,Healthy
eccDNABase_000635013,0,Healthy
eccDNABase_000003788,1,Primary pulmonary hypertension
eccDNABase_000912879,1,Fetal growth restriction
eccDNABase_000774100,1,Multiple diseases
CircleBaseV2_002897715,0,Healthy
eccDNABase_000873580,1,Systemic lupus erythematosus
CircleBaseV2_002817243,0,Healthy
CircleBaseV2_002823142,0,Healthy
eccDNABase_000684362,0,Healthy
eccDNABase_000718965,0,Healthy
eccDNABase_000912161,1,Fetal growth restriction
eccDNABase_000537305,1,Chordoma
CircleBaseV2_002875731,0,Healthy
CircleBaseV2_002857047,0,Healthy
CircleBaseV2_000004433,0,Healthy
CircleBaseV2_003001036,1,Stomach
eccDNABase_000016259,1,Skin cancer
eccDNABase_000020610,1,Lymphoma
eccDNABase_000912374,1,Fetal growth restriction
CircleBaseV2_003055125,1,Glioblastoma cancer
eccDNABase_000752398,1,Multiple diseases
CircleBaseV2_003049096,0,Healthy
CircleBaseV2_002891673,0,Healthy
eccDNABase_000621135,0,Healthy
eccDNABase_000000781,1,Chronic kidney disease
CircleBaseV2_002882340,0,Healthy
eccDNABase_000093355,1,Cervical adenocarcinoma
eccDNABase_000790272,0,Healthy
eccDNABase_000837951,0,Healthy
eccDNABase_000010980,1,Lower grade glioma cancer
eccDNABase_000530285,1,Chordoma
CircleBaseV2_003044047,0,Healthy
CircleBaseV2_002990724,1,Primary pulmonary hypertension
eccDNABase_000636716,0,Healthy
CircleBaseV2_002872251,0,Healthy
eccDNABase_000001639,1,Chronic kidney disease
eccDNABase_000570700,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000670214,0,Healthy
eccDNABase_000031105,1,Lymphoma
eccDNABase_000892995,1,Colorectal adenoma
eccDNABase_000812475,0,Healthy
eccDNABase_000624237,0,Healthy
eccDNABase_000810286,0,Healthy
CircleBaseV2_003029775,0,Healthy
eccDNABase_000837975,0,Healthy
CircleBaseV2_002799073,0,Healthy
CircleBaseV2_000026444,0,Healthy
eccDNABase_000010437,1,Glioblastoma
eccDNABase_000873531,1,Systemic lupus erythematosus
eccDNABase_000715673,0,Healthy
CircleBaseV2_002996986,1,Stomach
eccDNABase_000573208,1,Glioblastoma
eccDNABase_000035274,1,Lymphoma
CircleBaseV2_000043116,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000485444,1,Hiv infectious disease
eccDNABase_000912274,1,Fetal growth restriction
eccDNABase_000630361,0,Healthy
eccDNABase_000255442,1,Prostate cancer
eccDNABase_000116290,1,Cervical adenocarcinoma
eccDNABase_000570196,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000758607,1,Multiple diseases
CircleBaseV2_003067758,1,Dilated cardiomyopathy
eccDNABase_000663650,0,Healthy
eccDNABase_000013421,1,Skin cancer
eccDNABase_000537214,1,Chordoma
CircleBaseV2_002850278,0,Healthy
CircleBaseV2_002798592,0,Healthy
CircleBaseV2_002993481,1,Primary pulmonary hypertension
eccDNABase_000015319,1,Kidney cancer
CircleBaseV2_002764977,0,Healthy
eccDNABase_000035881,1,Lymphoma
CircleBaseV2_000023853,0,Healthy
eccDNABase_000012500,1,Sarcoma
eccDNABase_000736582,1,Multiple diseases
CircleBaseV2_000033503,0,Healthy
CircleBaseV2_000038556,0,Healthy
