anchor_id,positive_id,negative_id
eccDNABase_000667230,eccDNABase_000788858,eccDNABase_000014964
CircleBaseV2_002863653,CircleBaseV2_000030966,eccDNABase_000530147
eccDNABase_000706015,eccDNABase_000654187,CircleBaseV2_003054436
CircleBaseV2_002806844,eccDNABase_000716528,eccDNABase_000011670
CircleBaseV2_002932071,eccDNABase_000008192,CircleBaseV2_002852359
eccDNABase_000530203,CircleBaseV2_000000120,eccDNABase_000687946
CircleBaseV2_002799780,CircleBaseV2_002774085,eccDNABase_000002202
eccDNABase_000663539,CircleBaseV2_002844934,eccDNABase_000891914
eccDNABase_000011486,eccDNABase_000016027,eccDNABase_000818263
CircleBaseV2_002790242,CircleBaseV2_002869154,eccDNABase_000549084
CircleBaseV2_000023069,CircleBaseV2_003054373,eccDNABase_000834609
CircleBaseV2_000022955,CircleBaseV2_002820417,CircleBaseV2_002254432
eccDNABase_000894349,CircleBaseV2_003054448,CircleBaseV2_000026716
CircleBaseV2_003067334,eccDNABase_000013832,CircleBaseV2_002892911
eccDNABase_000100830,eccDNABase_000013272,eccDNABase_000799009
eccDNABase_000010016,eccDNABase_000011734,CircleBaseV2_000030477
eccDNABase_000785714,CircleBaseV2_002830003,eccDNABase_000015351
eccDNABase_000451434,eccDNABase_000874443,CircleBaseV2_003034546
eccDNABase_000010806,eccDNABase_000441386,CircleBaseV2_002770996
CircleBaseV2_003067334,eccDNABase_000450602,eccDNABase_000811422
eccDNABase_000009989,eccDNABase_000443496,CircleBaseV2_003040461
eccDNABase_000822135,eccDNABase_000820972,eccDNABase_000011734
eccDNABase_000011278,eccDNABase_000569404,CircleBaseV2_002762700
CircleBaseV2_000037696,CircleBaseV2_003037945,eccDNABase_000002206
eccDNABase_000439568,eccDNABase_000455435,eccDNABase_000795715
CircleBaseV2_002759022,eccDNABase_000701283,eccDNABase_000325074
eccDNABase_000015265,eccDNABase_000446362,CircleBaseV2_002803299
eccDNABase_000714920,CircleBaseV2_000041843,CircleBaseV2_003054446
CircleBaseV2_000015744,CircleBaseV2_002865015,CircleBaseV2_002043062
eccDNABase_000892659,eccDNABase_000751371,CircleBaseV2_002805122
CircleBaseV2_000011841,eccDNABase_000786806,eccDNABase_000530518
eccDNABase_000684119,eccDNABase_000799860,eccDNABase_000498141
eccDNABase_000663042,CircleBaseV2_002764869,eccDNABase_000002193
eccDNABase_000667918,eccDNABase_000688301,eccDNABase_000014391
CircleBaseV2_003048851,eccDNABase_000604108,eccDNABase_000769760
eccDNABase_000886790,eccDNABase_000530479,CircleBaseV2_000047375
eccDNABase_000439512,eccDNABase_000542142,eccDNABase_000590723
eccDNABase_000804919,eccDNABase_000827687,eccDNABase_000012919
eccDNABase_000438693,CircleBaseV2_000040575,CircleBaseV2_002887855
eccDNABase_000548599,eccDNABase_000893325,eccDNABase_000736790
eccDNABase_000530459,eccDNABase_000016102,CircleBaseV2_003045108
CircleBaseV2_002878943,CircleBaseV2_002883403,eccDNABase_000015132
eccDNABase_000012533,eccDNABase_000010003,eccDNABase_000600853
CircleBaseV2_000005805,eccDNABase_000535978,eccDNABase_000648807
eccDNABase_000699443,eccDNABase_000633111,eccDNABase_000011620
eccDNABase_000443471,CircleBaseV2_003023039,CircleBaseV2_002838386
CircleBaseV2_003067334,eccDNABase_000438660,CircleBaseV2_002811789
eccDNABase_000835699,eccDNABase_000767170,eccDNABase_000442154
CircleBaseV2_000039920,CircleBaseV2_002877859,CircleBaseV2_003055255
CircleBaseV2_002817901,eccDNABase_000802189,eccDNABase_000530457
eccDNABase_000906290,CircleBaseV2_003070835,eccDNABase_000010011
eccDNABase_000597982,CircleBaseV2_000042471,eccDNABase_000013582
eccDNABase_000014766,eccDNABase_000001450,CircleBaseV2_003037927
CircleBaseV2_003067334,CircleBaseV2_002991061,CircleBaseV2_002764141
eccDNABase_000258448,CircleBaseV2_002990707,eccDNABase_000631146
eccDNABase_000002199,eccDNABase_000002214,eccDNABase_000844719
eccDNABase_000643334,eccDNABase_000580684,CircleBaseV2_002992956
CircleBaseV2_002860633,CircleBaseV2_002812935,CircleBaseV2_003055254
eccDNABase_000725195,eccDNABase_000555028,CircleBaseV2_002844752
eccDNABase_000016036,eccDNABase_000446344,CircleBaseV2_002818615
eccDNABase_000012394,CircleBaseV2_003054444,eccDNABase_000696179
CircleBaseV2_003055066,eccDNABase_000538187,eccDNABase_000827595
eccDNABase_000822315,eccDNABase_000740822,CircleBaseV2_003054444
eccDNABase_000436733,CircleBaseV2_003008400,eccDNABase_000701092
eccDNABase_000661936,eccDNABase_000602947,eccDNABase_000441953
eccDNABase_000677507,eccDNABase_000621748,eccDNABase_000015351
eccDNABase_000451126,eccDNABase_000014182,CircleBaseV2_002841773
eccDNABase_000014248,CircleBaseV2_002990658,CircleBaseV2_002817681
CircleBaseV2_003054364,eccDNABase_000443484,eccDNABase_000654146
CircleBaseV2_002855623,eccDNABase_000906167,CircleBaseV2_003023043
eccDNABase_000011734,eccDNABase_000008235,eccDNABase_000800209
CircleBaseV2_002814696,eccDNABase_000576331,eccDNABase_000874442
eccDNABase_000530586,eccDNABase_000537325,CircleBaseV2_002887571
eccDNABase_000016036,eccDNABase_000438688,eccDNABase_000600316
eccDNABase_000002685,eccDNABase_000442158,CircleBaseV2_002865986
eccDNABase_000823754,eccDNABase_000709827,eccDNABase_000539725
CircleBaseV2_002990665,eccDNABase_000761033,eccDNABase_000640316
CircleBaseV2_000012420,eccDNABase_000436700,eccDNABase_000910338
eccDNABase_000443506,eccDNABase_000013755,eccDNABase_000669171
eccDNABase_000011473,CircleBaseV2_003055254,eccDNABase_000789428
eccDNABase_000012877,CircleBaseV2_000041839,eccDNABase_000837932
eccDNABase_000443506,eccDNABase_000014506,eccDNABase_000911664
CircleBaseV2_000042014,CircleBaseV2_002761540,CircleBaseV2_003067334
CircleBaseV2_000026807,eccDNABase_000677385,eccDNABase_000075613
eccDNABase_000016264,eccDNABase_000886781,eccDNABase_000712621
CircleBaseV2_003042587,CircleBaseV2_003036139,eccDNABase_000573972
eccDNABase_000571127,eccDNABase_000400806,eccDNABase_000641528
eccDNABase_000008506,eccDNABase_000015978,eccDNABase_000685178
eccDNABase_000784872,eccDNABase_000606420,eccDNABase_000010988
eccDNABase_000516905,eccDNABase_000530453,eccDNABase_000664412
CircleBaseV2_002885851,CircleBaseV2_000007543,eccDNABase_000455471
eccDNABase_000587206,CircleBaseV2_002836055,eccDNABase_000449276
eccDNABase_000629444,eccDNABase_000660878,eccDNABase_000013137
eccDNABase_000910840,CircleBaseV2_003034740,eccDNABase_000455462
eccDNABase_000014855,eccDNABase_000015879,eccDNABase_000832099
CircleBaseV2_003028581,eccDNABase_000577885,eccDNABase_000480236
eccDNABase_000009741,eccDNABase_000443471,eccDNABase_000644907
eccDNABase_000535996,eccDNABase_000009989,eccDNABase_000889547
eccDNABase_000673702,CircleBaseV2_002807183,eccDNABase_000817638
eccDNABase_000443484,CircleBaseV2_003067622,CircleBaseV2_002879238
eccDNABase_000012449,eccDNABase_000008979,CircleBaseV2_002849795
eccDNABase_000659610,eccDNABase_000805264,eccDNABase_000874444
eccDNABase_000635961,eccDNABase_000587680,CircleBaseV2_003068949
eccDNABase_000634873,eccDNABase_000606140,eccDNABase_000439518
eccDNABase_000796680,CircleBaseV2_003028767,eccDNABase_000776327
eccDNABase_000794099,eccDNABase_000692462,eccDNABase_000893120
eccDNABase_000810254,eccDNABase_000817457,eccDNABase_000443497
eccDNABase_000439749,eccDNABase_000569903,CircleBaseV2_000032393
eccDNABase_000569199,CircleBaseV2_002990661,eccDNABase_000827687
eccDNABase_000503132,CircleBaseV2_003023040,CircleBaseV2_002826648
CircleBaseV2_003036199,CircleBaseV2_003040626,eccDNABase_000439193
eccDNABase_000907233,CircleBaseV2_000049322,eccDNABase_000010571
CircleBaseV2_000029864,eccDNABase_000608098,eccDNABase_000887930
eccDNABase_000600169,eccDNABase_000619534,CircleBaseV2_000053283
eccDNABase_000718944,CircleBaseV2_000049196,eccDNABase_000000867
eccDNABase_000886781,eccDNABase_000537396,eccDNABase_000648770
eccDNABase_000692199,eccDNABase_000590109,eccDNABase_000439094
eccDNABase_000590085,CircleBaseV2_000024435,eccDNABase_000512364
eccDNABase_000439273,eccDNABase_000002214,CircleBaseV2_002839378
eccDNABase_000436672,eccDNABase_000015978,eccDNABase_000627167
eccDNABase_000014715,eccDNABase_000443513,eccDNABase_000610562
